Time,Model,Class,Confidence,Snapshot
2025-07-10_18-56-59,PPE,No Helmet,0.52,snapshots/PPE_No Helmet_2025-07-10_18-56-59.jpg
2025-07-10_18-57-00,PPE,IFR suit,0.61,snapshots/PPE_IFR suit_2025-07-10_18-57-00.jpg
2025-07-10_18-57-29,PPE,IFR suit,0.54,snapshots/PPE_IFR suit_2025-07-10_18-57-29.jpg
2025-07-10_18-57-30,PPE,IFR suit,0.62,snapshots/PPE_IFR suit_2025-07-10_18-57-30.jpg
2025-07-10_18-57-36,PPE,IFR suit,0.59,snapshots/PPE_IFR suit_2025-07-10_18-57-36.jpg
2025-07-10_18-57-37,PPE,IFR suit,0.53,snapshots/PPE_IFR suit_2025-07-10_18-57-37.jpg
2025-07-10_19-00-59,PPE,Helmet,0.65,snapshots/PPE_Helmet_2025-07-10_19-00-59.jpg
2025-07-10_19-01-09,PPE,IFR suit,0.5,snapshots/PPE_IFR suit_2025-07-10_19-01-09.jpg
2025-07-10_19-01-10,PPE,IFR suit,0.5,snapshots/PPE_IFR suit_2025-07-10_19-01-10.jpg
2025-07-10_19-01-11,PPE,IFR suit,0.56,snapshots/PPE_IFR suit_2025-07-10_19-01-11.jpg
2025-07-10_19-01-12,PPE,No Gloves,0.59,snapshots/PPE_No Gloves_2025-07-10_19-01-12.jpg
2025-07-10_19-01-12,PPE,No Gloves,0.6,snapshots/PPE_No Gloves_2025-07-10_19-01-12.jpg
2025-07-10_19-01-13,PPE,IFR suit,0.51,snapshots/PPE_IFR suit_2025-07-10_19-01-13.jpg
2025-07-10_19-01-13,PPE,No Gloves,0.53,snapshots/PPE_No Gloves_2025-07-10_19-01-13.jpg
2025-07-10_19-01-13,PPE,IFR suit,0.51,snapshots/PPE_IFR suit_2025-07-10_19-01-13.jpg
2025-07-10_19-01-13,PPE,No Gloves,0.57,snapshots/PPE_No Gloves_2025-07-10_19-01-13.jpg
2025-07-10_19-01-13,PPE,No Gloves,0.57,snapshots/PPE_No Gloves_2025-07-10_19-01-13.jpg
2025-07-10_19-01-13,PPE,No Gloves,0.52,snapshots/PPE_No Gloves_2025-07-10_19-01-13.jpg
2025-07-10_19-01-14,PPE,IFR suit,0.5,snapshots/PPE_IFR suit_2025-07-10_19-01-14.jpg
2025-07-10_19-01-15,PPE,No Gloves,0.52,snapshots/PPE_No Gloves_2025-07-10_19-01-15.jpg
2025-07-10_19-01-15,PPE,No Gloves,0.59,snapshots/PPE_No Gloves_2025-07-10_19-01-15.jpg
2025-07-10_19-01-16,PPE,No Gloves,0.52,snapshots/PPE_No Gloves_2025-07-10_19-01-16.jpg
2025-07-10_19-01-17,PPE,No Gloves,0.51,snapshots/PPE_No Gloves_2025-07-10_19-01-17.jpg
2025-07-10_19-01-19,PPE,IFR suit,0.6,snapshots/PPE_IFR suit_2025-07-10_19-01-19.jpg
2025-07-10_19-01-20,PPE,IFR suit,0.76,snapshots/PPE_IFR suit_2025-07-10_19-01-20.jpg
